# Documents,Doc Preprocessing Time,Hierarchical Clustering Time,Topic Extraction Time,Indexing Time,Document Index Size,Topic Index Size
100,42.1942267,0.8404218999999955,12.706915699999996,0.2546597000000048,0.03787994384765625,0.054168701171875
200,365.0546236,2.4334402999999725,84.29991919999998,0.2582679000000212,0.09459686279296875,0.134490966796875
300,407.6944198,2.5237694999999576,174.79219100000012,0.5266524000001027,0.1572723388671875,0.208892822265625
400,464.90044850000004,6.634140399999978,291.08990459999995,0.26477969999996276,0.26255035400390625,0.299957275390625
500,770.7954989,4.519424400000389,385.10359359999984,0.23456739999983256,0.34807586669921875,0.40959930419921875
600,828.9612655999999,6.095417899999575,521.1497251000005,0.23465390000001207,0.396942138671875,0.44980621337890625
700,1152.3260918000005,7.3232318000000305,685.6725080000006,0.39738149999993766,0.5315322875976562,0.5405120849609375
800,1181.9141707999997,8.635840999999346,854.0513122999992,0.2877207000001363,0.5693283081054688,0.5682601928710938
900,1249.4641489999995,11.117828799999188,1072.9258046000014,0.5765996999998606,0.6187362670898438,0.6088714599609375
1000,1283.8062494000005,10.690345500001058,1295.5523563999996,0.5442450999998982,0.8152923583984375,0.8930206298828125
